iter	Passed	Remaining
0	14	7229
1	49	12370
2	62	10310
3	87	10899
4	102	10190
5	121	9982
6	139	9856
7	153	9445
8	169	9238
9	188	9228
10	201	8972
11	216	8820
12	235	8817
13	251	8738
14	267	8633
15	298	9035
16	319	9069
17	348	9344
18	372	9440
19	398	9556
20	420	9583
21	445	9672
22	493	10229
23	499	9909
24	507	9640
25	519	9462
26	530	9287
27	541	9122
28	547	8886
29	554	8691
30	568	8597
31	578	8456
32	593	8394
33	600	8232
34	610	8113
35	622	8029
36	634	7933
37	642	7808
38	648	7671
39	656	7555
40	667	7475
41	676	7378
42	688	7315
43	694	7201
44	702	7106
45	712	7034
46	722	6962
47	732	6898
48	740	6813
49	747	6724
50	754	6645
51	764	6589
52	773	6523
53	782	6462
54	790	6392
55	795	6305
56	806	6271
57	815	6217
58	824	6164
59	833	6112
60	840	6047
61	845	5970
62	852	5910
63	860	5865
64	869	5819
65	877	5773
66	886	5731
67	892	5668
68	900	5626
69	912	5605
70	921	5565
71	929	5527
72	937	5485
73	942	5427
74	959	5436
75	988	5516
76	1030	5661
77	1084	5866
78	1121	5974
79	1143	6001
80	1178	6094
81	1186	6048
82	1199	6027
83	1217	6027
84	1227	5993
85	1235	5946
86	1248	5925
87	1266	5928
88	1278	5903
89	1285	5857
90	1299	5839
91	1309	5807
92	1318	5771
93	1327	5734
94	1334	5690
95	1340	5639
96	1349	5606
97	1358	5574
98	1368	5542
99	1377	5508
100	1383	5466
101	1389	5421
102	1398	5388
103	1407	5361
104	1426	5367
105	1445	5372
106	1473	5411
107	1493	5420
108	1508	5409
109	1519	5385
110	1529	5359
111	1534	5316
112	1541	5279
113	1550	5250
114	1558	5218
115	1568	5193
116	1576	5160
117	1582	5121
118	1588	5084
119	1597	5058
120	1606	5033
121	1615	5005
122	1624	4980
123	1630	4943
124	1635	4905
125	1644	4881
126	1652	4854
127	1661	4828
128	1670	4804
129	1677	4774
130	1682	4739
131	1690	4714
132	1699	4690
133	1708	4665
134	1716	4641
135	1724	4615
136	1729	4583
137	1736	4556
138	1745	4533
139	1753	4509
140	1762	4486
141	1769	4461
142	1775	4433
143	1780	4402
144	1788	4379
145	1797	4359
146	1806	4338
147	1816	4319
148	1823	4295
149	1828	4266
150	1834	4240
151	1843	4220
152	1852	4201
153	1861	4181
154	1869	4160
155	1874	4133
156	1879	4106
157	1887	4086
158	1897	4070
159	1906	4051
160	1914	4032
161	1921	4008
162	1926	3983
163	1933	3960
164	1950	3960
165	1965	3954
166	1971	3931
167	1976	3906
168	1984	3886
169	1993	3869
170	2003	3855
171	2014	3841
172	2021	3821
173	2028	3801
174	2038	3786
175	2049	3772
176	2060	3760
177	2067	3740
178	2074	3720
179	2081	3701
180	2092	3687
181	2100	3670
182	2110	3656
183	2118	3637
184	2124	3617
185	2132	3600
186	2142	3586
187	2151	3570
188	2160	3555
189	2166	3535
190	2173	3515
191	2181	3498
192	2191	3486
193	2200	3470
194	2210	3456
195	2216	3438
196	2222	3418
197	2231	3403
198	2241	3390
199	2250	3376
200	2259	3360
201	2265	3342
202	2270	3322
203	2277	3304
204	2286	3290
205	2295	3275
206	2303	3260
207	2311	3245
208	2317	3226
209	2322	3207
210	2331	3192
211	2339	3177
212	2348	3164
213	2369	3167
214	2394	3174
215	2410	3169
216	2415	3150
217	2422	3133
218	2431	3120
219	2439	3105
220	2448	3090
221	2456	3076
222	2462	3058
223	2466	3039
224	2474	3024
225	2483	3010
226	2494	3000
227	2502	2986
228	2508	2969
229	2514	2951
230	2520	2935
231	2529	2921
232	2538	2908
233	2547	2896
234	2555	2882
235	2560	2864
236	2566	2847
237	2576	2835
238	2585	2823
239	2594	2810
240	2602	2796
241	2608	2780
242	2612	2763
243	2621	2750
244	2632	2740
245	2641	2727
246	2650	2715
247	2657	2699
248	2661	2683
249	2669	2669
250	2678	2657
251	2687	2644
252	2698	2634
253	2704	2619
254	2709	2603
255	2716	2589
256	2725	2577
257	2734	2564
258	2742	2552
259	2751	2539
260	2756	2524
261	2761	2508
262	2769	2496
263	2778	2483
264	2788	2472
265	2796	2459
266	2803	2446
267	2808	2430
268	2815	2417
269	2824	2405
270	2832	2393
271	2840	2381
272	2849	2369
273	2854	2354
274	2859	2339
275	2867	2326
276	2875	2314
277	2883	2302
278	2892	2291
279	2901	2279
280	2905	2264
281	2912	2251
282	2921	2240
283	2932	2230
284	2956	2229
285	2970	2222
286	2979	2211
287	2989	2200
288	2997	2188
289	3002	2174
290	3007	2159
291	3016	2148
292	3024	2137
293	3033	2125
294	3042	2114
295	3048	2101
296	3053	2087
297	3060	2074
298	3070	2064
299	3079	2053
300	3088	2041
301	3095	2029
302	3100	2016
303	3106	2003
