iter	Logloss	Accuracy	Precision	Recall
0	0.6919404496	0.6611018364	0.6631762653	0.974358974411	0.6907021431	0.6644407346	0.6598984772	1
2	0.6890754367	0.6661101836	0.6610169492	1
3	0.687211895	0.6811352254	0.6712564544	1
4	0.684046084	0.6861435726	0.6753472222	0.9974358974
5	0.6810782421	0.7061769616	0.6890459364	1
6	0.6777676217	0.7161936561	0.6992753623	0.7	0.67771227	0.6750688761	0.7245409015	0.708	0.67470768	0.6731060115	0.7195325543	0.6989247312	1
9	0.6717147952	0.7061769616	0.6890459364	1
10	0.670576446	0.7045075125	0.6878306878	1
11	0.6692337675	0.6928213689	0.6794425087	1
12	0.6673550087	0.6928213689	0.6794425087	1
13	0.6655626653	0.694490818	0.6806282723	1
14	0.6642037131	0.694490818	0.6806282723	1
15	0.6632469826	0.6878130217	0.6759098787	1
16	0.6612983868	0.6894824708	0.6770833333	1
17	0.6601022618	0.6928213689	0.6794425087	1
18	0.6588888877	0.6911519199	0.6782608696	1
19	0.6581158571	0.6878130217	0.6759098787	1
20	0.6568937488	0.6894824708	0.6770833333	1
21	0.6554621628	0.6894824708	0.6770833333	1
22	0.6541811298	0.6894824708	0.6770833333	1
23	0.6531141245	0.6878130217	0.6759098787	1
24	0.6517965437	0.6878130217	0.6759098787	1
25	0.650495891	0.6894824708	0.6770833333	1
26	0.6494197858	0.6911519199	0.6782608696	1
27	0.6482145397	0.6911519199	0.6782608696	1
28	0.6456337222	0.6911519199	0.6782608696	1
29	0.6428235384	0.6928213689	0.6794425087	1
30	0.641982884	0.6911519199	0.6782608696	1
31	0.6406660603	0.6911519199	0.6782608696	1
32	0.6397062055	0.6911519199	0.6782608696	1
33	0.6388487813	0.6911519199	0.6782608696	1
34	0.6374956369	0.6911519199	0.6782608696	1
35	0.6359231534	0.6911519199	0.6782608696	1
36	0.6339445429	0.6911519199	0.6782608696	1
37	0.6333203958	0.6894824708	0.6770833333	1
38	0.6324242257	0.6894824708	0.6770833333	1
39	0.6295989912	0.6894824708	0.6770833333	1
40	0.6285725259	0.6894824708	0.6770833333	1
41	0.6276487323	0.6894824708	0.6770833333	1
42	0.6265877349	0.6894824708	0.6770833333	1
43	0.6241554096	0.6894824708	0.6770833333	1
44	0.6230658982	0.6911519199	0.6782608696	1
45	0.6209347795	0.6911519199	0.6782608696	1
46	0.620076584	0.6911519199	0.6782608696	1
47	0.6193043177	0.6911519199	0.6782608696	1
48	0.6183872476	0.6911519199	0.6782608696	1
49	0.6176862881	0.6911519199	0.6782608696	1
50	0.6162343441	0.6928213689	0.6794425087	1
51	0.6146445713	0.6961602671	0.6818181818	1
52	0.6121451113	0.7011686144	0.6854130053	1
53	0.6113693614	0.7011686144	0.6854130053	1
54	0.6108516773	0.7011686144	0.6854130053	1
55	0.6082230345	0.7045075125	0.6878306878	1
56	0.6069332539	0.7045075125	0.6878306878	1
57	0.6057769972	0.7045075125	0.6878306878	1
58	0.6046732895	0.7061769616	0.6890459364	1
59	0.6037390305	0.7061769616	0.6890459364	1
60	0.6020683241	0.7061769616	0.6890459364	1
61	0.6013203825	0.7061769616	0.6890459364	1
62	0.599976152	0.7078464107	0.6902654867	1
63	0.5990893662	0.7061769616	0.6890459364	1
64	0.5985140897	0.7045075125	0.6878306878	1
65	0.5980808998	0.7045075125	0.6878306878	1
66	0.5975059342	0.7011686144	0.6854130053	1
67	0.5969607145	0.6994991653	0.6842105263	1
68	0.596524307	0.6978297162	0.6830122592	1
69	0.594182669	0.7061769616	0.6890459364	1
70	0.5935208271	0.7061769616	0.6890459364	1
71	0.5930060154	0.7045075125	0.6878306878	1
72	0.5925289406	0.7028380634	0.6866197183	1
73	0.5918066973	0.7028380634	0.6866197183	1
74	0.5898609105	0.7028380634	0.6866197183	1
75	0.5893468247	0.7045075125	0.6878306878	1
76	0.5886661349	0.7028380634	0.6866197183	1
77	0.5876978041	0.7045075125	0.6878306878	1
78	0.5869497181	0.7028380634	0.6866197183	1
79	0.5864458843	0.6994991653	0.6842105263	1
80	0.5844589739	0.6978297162	0.6830122592	1
81	0.5841764403	0.6978297162	0.6830122592	1
82	0.5824372139	0.6994991653	0.6842105263	1
83	0.5819087207	0.7028380634	0.6866197183	1
84	0.5813532999	0.6994991653	0.6842105263	1
85	0.5807337829	0.6994991653	0.6842105263	1
86	0.5801852283	0.6994991653	0.6842105263	1
87	0.5794082802	0.6994991653	0.6842105263	1
88	0.578985218	0.6994991653	0.6842105263	1
89	0.5785473292	0.7011686144	0.6854130053	1
90	0.5780893547	0.7011686144	0.6854130053	1
91	0.5776983665	0.7011686144	0.6854130053	1
92	0.5770608117	0.7011686144	0.6854130053	1
93	0.5765028494	0.7011686144	0.6854130053	1
94	0.574893296	0.7028380634	0.6866197183	1
95	0.5738064023	0.7028380634	0.6866197183	1
96	0.5730676011	0.7011686144	0.6854130053	1
97	0.5724349243	0.7011686144	0.6854130053	1
98	0.5718305552	0.7011686144	0.6854130053	1
99	0.5706379871	0.7011686144	0.6854130053	1
100	0.5701948211	0.7011686144	0.6854130053	1
101	0.5689907565	0.7011686144	0.6854130053	1
102	0.5678195957	0.7028380634	0.6866197183	1
103	0.5664882013	0.7045075125	0.6878306878	1
104	0.5661548155	0.7045075125	0.6878306878	1
105	0.5656381691	0.7061769616	0.6890459364	1
106	0.565023697	0.7078464107	0.6902654867	1
107	0.5640690908	0.7061769616	0.6890459364	1
108	0.5638184991	0.7061769616	0.6890459364	1
109	0.5617536438	0.7061769616	0.6890459364	1
110	0.5603435464	0.7061769616	0.6890459364	1
111	0.5588843185	0.7095158598	0.6914893617	1
112	0.5582304731	0.7078464107	0.6902654867	1
113	0.5576873981	0.7095158598	0.6914893617	1
114	0.5566286425	0.7078464107	0.6902654867	1
115	0.5561937635	0.7078464107	0.6902654867	1
116	0.5558322738	0.7078464107	0.6902654867	1
117	0.5550440922	0.7111853088	0.6927175844	1
118	0.5544711893	0.7095158598	0.6914893617	1
119	0.5539538929	0.7078464107	0.6902654867	1
120	0.5532829025	0.7061769616	0.6890459364	1
121	0.5527004243	0.7095158598	0.6914893617	1
122	0.5525061785	0.7111853088	0.6927175844	1
123	0.5521879209	0.7061769616	0.6890459364	1
124	0.5519375058	0.7061769616	0.6890459364	1
125	0.5500219152	0.7128547579	0.6939501779	1
126	0.5492806214	0.7128547579	0.6939501779	1
127	0.5489877925	0.7128547579	0.6939501779	1
128	0.5483740887	0.714524207	0.6951871658	1
129	0.547996474	0.714524207	0.6951871658	1
130	0.5475808332	0.714524207	0.6951871658	1
131	0.5472139217	0.7128547579	0.6939501779	1
132	0.5465692304	0.714524207	0.6951871658	1
133	0.546114635	0.7128547579	0.6939501779	1
134	0.5443249814	0.7178631052	0.6976744186	1
135	0.5438233459	0.7178631052	0.6976744186	1
136	0.5433533351	0.7161936561	0.6964285714	1
137	0.5428732567	0.7178631052	0.6976744186	1
138	0.5425239956	0.7161936561	0.6964285714	1
139	0.5417307594	0.7178631052	0.6976744186	1
140	0.5414843788	0.7178631052	0.6976744186	1
141	0.5407375935	0.7178631052	0.6976744186	1
142	0.5403421778	0.7178631052	0.6976744186	1
143	0.5400412421	0.7178631052	0.6976744186	1
144	0.5392457835	0.7178631052	0.6976744186	1
145	0.5385708964	0.7178631052	0.6976744186	1
146	0.5379553136	0.7178631052	0.6976744186	1
147	0.5368164766	0.7312186978	0.7078039927	1
148	0.5361412594	0.7295492487	0.7065217391	1
149	0.5358690342	0.7295492487	0.7065217391	1
150	0.535486781	0.7295492487	0.7065217391	1
151	0.5350559846	0.7295492487	0.7065217391	1
152	0.5346295368	0.7312186978	0.7078039927	1
153	0.5343052711	0.7295492487	0.7065217391	1
154	0.5339485049	0.7295492487	0.7065217391	1
155	0.533237565	0.7312186978	0.7078039927	1
