iter	Passed	Remaining
0	204	81545
1	384	76512
2	546	72370
3	701	69437
4	844	66680
5	992	65145
6	1179	66220
7	1394	68319
8	1520	66036
9	1680	65521
10	1777	62861
11	1910	61778
12	2039	60711
13	2137	58922
14	2273	58342
15	2473	59354
16	2607	58740
17	2728	57905
18	2839	56937
19	2974	56509
20	3125	56400
21	3272	56228
22	3407	55851
23	3603	56453
24	3716	55749
25	3827	55057
26	3951	54583
27	4054	53864
28	4149	53080
29	4242	52327
30	4343	51697
31	4475	51473
32	4614	51321
33	4700	50603
34	4803	50092
35	4901	49556
36	5011	49168
37	5125	48827
38	5238	48488
39	5356	48207
40	5520	48338
41	5662	48262
42	5773	47932
43	5873	47524
44	5987	47231
45	6108	47011
46	6208	46631
47	6323	46370
48	6421	45997
49	6583	46082
50	6707	45897
51	6828	45698
52	6936	45414
53	7064	45262
54	7164	44942
55	7262	44611
56	7368	44339
57	7497	44208
58	7643	44174
59	7767	44014
60	7885	43824
61	7995	43586
62	8112	43393
63	8217	43141
64	8330	42932
65	8428	42653
66	8566	42574
67	8695	42454
68	8807	42250
69	8907	41993
70	9018	41791
71	9159	41726
72	9276	41552
73	9391	41374
74	9509	41205
75	9647	41130
76	9751	40907
77	9859	40700
78	9964	40489
79	10068	40275
80	10206	40194
81	10324	40040
82	10440	39873
83	10550	39689
84	10693	39629
85	10793	39407
86	10888	39173
87	10985	38948
88	11091	38758
89	11225	38664
90	11332	38482
91	11429	38262
92	11531	38064
93	11677	38013
94	11780	37822
95	11892	37660
96	11990	37455
97	12087	37248
98	12225	37170
99	12334	37002
100	12442	36833
101	12541	36641
102	12706	36639
103	12840	36546
104	12943	36363
105	13039	36165
106	13139	35980
107	13277	35897
108	13375	35708
109	13492	35572
110	13605	35423
111	13774	35420
112	13869	35226
113	13977	35066
114	14071	34872
115	14170	34694
116	14311	34617
117	14409	34435
118	14505	34252
119	14621	34117
120	14781	34082
121	14890	33931
122	14999	33778
123	15112	33636
124	15218	33481
125	15362	33407
126	15473	33261
127	15587	33122
128	15706	32994
129	15848	32916
130	15956	32765
131	16061	32609
132	16164	32450
133	16273	32303
134	16437	32265
135	16546	32120
136	16654	31971
137	16772	31843
138	16942	31813
139	17039	31645
140	17138	31481
141	17260	31360
142	17405	31281
143	17510	31129
144	17612	30974
145	17710	30812
146	17834	30695
147	17966	30592
148	18076	30450
149	18182	30303
150	18308	30191
151	18469	30134
152	18586	30006
153	18714	29893
154	18850	29795
155	18991	29704
156	19089	29546
157	19182	29380
158	19308	29266
159	19495	29242
160	19634	29147
161	19744	29006
162	19847	28857
163	20009	28793
164	20149	28698
165	20345	28680
166	20584	28719
167	20714	28605
168	20854	28505
169	21123	28578
170	21226	28426
171	21335	28282
172	21533	28255
173	21758	28261
174	21979	28259
175	22086	28109
176	22194	27962
177	22300	27812
178	22415	27675
179	22517	27521
180	22674	27435
181	22780	27287
182	22891	27144
183	22994	26993
184	23169	26927
185	23264	26767
186	23389	26641
187	23496	26496
188	23600	26347
189	23772	26275
190	23889	26140
191	23993	25993
192	24138	25889
193	24259	25759
194	24366	25615
195	24485	25484
196	24585	25334
197	24737	25237
198	24831	25081
199	24921	24921
200	25033	24784
201	25155	24657
202	25286	24539
203	25388	24392
204	25494	24250
205	25605	24113
206	25929	24176
207	26032	24030
208	26132	23881
209	26243	23744
210	26384	23633
211	26504	23504
212	26598	23352
213	26691	23199
214	26802	23062
215	26974	22978
216	27070	22828
217	27180	22692
218	27292	22557
219	27440	22451
220	27566	22327
221	27663	22180
222	27765	22038
223	27888	21912
224	28056	21821
225	28161	21682
226	28266	21542
227	28362	21396
228	28471	21260
229	28622	21155
230	28723	21014
231	28828	20875
232	28938	20741
233	29115	20654
234	29217	20514
235	29340	20389
236	29438	20247
237	29597	20146
238	29694	20003
239	29788	19859
240	29884	19716
241	29976	19571
242	30149	19479
243	30259	19346
244	30358	19206
245	30457	19066
246	30556	18927
247	30704	18818
248	30796	18675
