iter	Logloss	Accuracy	Precision	Recall
0	0.6891820407	0.75	0.7873563218	0.8439425051
1	0.6872342114	0.756684492	0.7409162717	0.9630390144
2	0.6839316953	0.7807486631	0.7559429477	0.9794661191
3	0.6801546094	0.7967914439	0.769726248	0.9815195072
4	0.6763255983	0.8088235294	0.7810457516	0.9815195072
5	0.6733353095	0.8128342246	0.7811993517	0.9897330595
6	0.6698618819	0.8101604278	0.7804878049	0.9856262834
7	0.6667371554	0.8061497326	0.7775974026	0.9835728953
8	0.6639323845	0.7981283422	0.7692307692	0.9856262834
9	0.6618357004	0.7994652406	0.7696	0.9876796715
10	0.6593828189	0.7941176471	0.763866878	0.9897330595
11	0.6561784438	0.8021390374	0.7694753577	0.9938398357
12	0.6534400588	0.807486631	0.7735247209	0.9958932238
13	0.6503962065	0.8034759358	0.7698412698	0.9958932238
14	0.6486033938	0.7981283422	0.7649842271	0.9958932238
15	0.6447988158	0.8034759358	0.7698412698	0.9958932238
16	0.6418430035	0.8034759358	0.7698412698	0.9958932238
17	0.6406499756	0.7981283422	0.7641509434	0.9979466119
18	0.6386880892	0.7981283422	0.7641509434	0.9979466119
19	0.6364743207	0.7914438503	0.7573872473	1
20	0.6325644534	0.7927807487	0.7610062893	0.9938398357
21	0.6298035774	0.7927807487	0.759375	0.9979466119
22	0.6283915526	0.7914438503	0.7581903276	0.9979466119
23	0.624735626	0.7967914439	0.7637795276	0.9958932238
24	0.6214695321	0.7981283422	0.7666666667	0.9917864476
25	0.6189461872	0.8021390374	0.7677725118	0.9979466119
26	0.6161550613	0.7981283422	0.7666666667	0.9917864476
27	0.6145059378	0.800802139	0.7691082803	0.9917864476
28	0.6123415695	0.7981283422	0.7641509434	0.9979466119
29	0.6106699064	0.7994652406	0.7653543307	0.9979466119
30	0.6075157797	0.8034759358	0.7689873418	0.9979466119
31	0.6055899113	0.8034759358	0.7689873418	0.9979466119
32	0.6021065645	0.8114973262	0.7772435897	0.9958932238
33	0.6002872641	0.8128342246	0.7776	0.9979466119
34	0.5980151393	0.8088235294	0.7747603834	0.9958932238
35	0.5962355153	0.8101604278	0.776	0.9958932238
36	0.5945943109	0.8061497326	0.7722929936	0.9958932238
37	0.5928400727	0.8048128342	0.7710651828	0.9958932238
38	0.5901190904	0.807486631	0.7735247209	0.9958932238
39	0.5875145226	0.807486631	0.7735247209	0.9958932238
40	0.5842086246	0.814171123	0.7797427653	0.9958932238
41	0.5811455462	0.814171123	0.7797427653	0.9958932238
42	0.5783342211	0.8114973262	0.7772435897	0.9958932238
43	0.5768839737	0.8101604278	0.776	0.9958932238
44	0.575476811	0.8128342246	0.7784911717	0.9958932238
45	0.5743654343	0.814171123	0.7788461538	0.9979466119
46	0.5733533031	0.814171123	0.7788461538	0.9979466119
47	0.5712740526	0.8181818182	0.7826086957	0.9979466119
48	0.5701977467	0.8101604278	0.7751196172	0.9979466119
49	0.5674498743	0.814171123	0.7788461538	0.9979466119
50	0.5657532929	0.8128342246	0.7776	0.9979466119
51	0.5636010404	0.8181818182	0.7826086957	0.9979466119
52	0.5611271635	0.8195187166	0.7838709677	0.9979466119
53	0.558835563	0.820855615	0.7851373183	0.9979466119
54	0.5559925666	0.820855615	0.7860615883	0.9958932238
55	0.5540898873	0.8221925134	0.7873376623	0.9958932238
56	0.5510723982	0.8235294118	0.7886178862	0.9958932238
57	0.5489184421	0.8262032086	0.7911908646	0.9958932238
58	0.5477248079	0.8235294118	0.7886178862	0.9958932238
59	0.5458495363	0.8221925134	0.7873376623	0.9958932238
60	0.5449107278	0.8221925134	0.7873376623	0.9958932238
61	0.5437572132	0.8235294118	0.7886178862	0.9958932238
62	0.5424849123	0.8235294118	0.7886178862	0.9958932238
63	0.5412779377	0.8248663102	0.788961039	0.9979466119
64	0.5400265154	0.8248663102	0.788961039	0.9979466119
65	0.5377915675	0.827540107	0.7915309446	0.9979466119
66	0.5360203603	0.8288770053	0.792822186	0.9979466119
67	0.5347253516	0.8315508021	0.7954173486	0.9979466119
68	0.53187275	0.8382352941	0.801980198	0.9979466119
69	0.5292437771	0.8368983957	0.8006589786	0.9979466119
70	0.5269269557	0.8395721925	0.8033057851	0.9979466119
71	0.5256885814	0.8422459893	0.8059701493	0.9979466119
72	0.5246709563	0.8409090909	0.8046357616	0.9979466119
73	0.5222092841	0.8422459893	0.8059701493	0.9979466119
74	0.5196516143	0.8475935829	0.8113522538	0.9979466119
75	0.518225926	0.8502673797	0.8140703518	0.9979466119
76	0.5169210564	0.8516042781	0.8154362416	0.9979466119
77	0.5156532738	0.8502673797	0.8140703518	0.9979466119
78	0.5143933325	0.8529411765	0.8168067227	0.9979466119
79	0.5127572131	0.8516042781	0.8154362416	0.9979466119
80	0.5110241449	0.8542780749	0.8181818182	0.9979466119
81	0.509901233	0.8542780749	0.8181818182	0.9979466119
82	0.5079786014	0.8542780749	0.8181818182	0.9979466119
83	0.5058235625	0.8556149733	0.8195615514	0.9979466119
84	0.5040906239	0.8596256684	0.8237288136	0.9979466119
85	0.5019619574	0.8636363636	0.8279386712	0.9979466119
86	0.5006032575	0.8636363636	0.8279386712	0.9979466119
87	0.4992384075	0.8636363636	0.8279386712	0.9979466119
88	0.4983603817	0.864973262	0.8293515358	0.9979466119
89	0.4972217679	0.8636363636	0.8279386712	0.9979466119
90	0.4960562124	0.8622994652	0.8265306122	0.9979466119
91	0.494745578	0.8622994652	0.8265306122	0.9979466119
92	0.4926300557	0.8663101604	0.8307692308	0.9979466119
93	0.4913578905	0.8663101604	0.8307692308	0.9979466119
94	0.4892463384	0.8636363636	0.8279386712	0.9979466119
95	0.4876109043	0.8676470588	0.8321917808	0.9979466119
96	0.4854181692	0.8676470588	0.8321917808	0.9979466119
97	0.4842339402	0.8676470588	0.8321917808	0.9979466119
98	0.4835431448	0.8703208556	0.8350515464	0.9979466119
99	0.482392719	0.871657754	0.8364888124	0.9979466119
