Id,CreationStamp,Dataset,Description,Ch_0_0,Ch_0_1,Ch_0_2,Ch_0_3,Ch_0_4,Ch_0_5,Ch_0_6,Ch_0_7,Ch_0_8,Ch_0_9,Ch_0_10,Ch_0_11,Ch_0_12,Ch_0_13,Ch_0_14,Ch_0_15,Ch_0_16,Ch_0_17,Ch_1_0,Ch_1_1,Ch_1_2,Ch_1_3,Ch_1_4,Ch_1_5,Ch_1_6,Ch_1_7,Ch_1_8,Ch_1_9,Ch_1_10,Ch_1_11,Ch_1_12,Ch_1_13,Ch_1_14,Ch_1_15,Ch_1_16,Ch_1_17
1256,2019-10-23 10:18:45Z,Chm100s,Spectrum1,110.4915,58.10331,317.1801,619.2113,740.73,1369.857,278.8603,605.4973,1243.808,178.4082,4245.773,47.59319,5095.962,30.0846,7380.781,36.87222,12394.62,57.24491,2531.276,24.48042,1134.127,330.0613,1028.265,146.5145,270.8441,585.993,257.8581,822.6505,872.6029,842.9047,507.1024,760.0938,136.1016,244.2015,122.6199,166.4128
1257,2019-10-23 10:18:55Z,Chm100s,Spectrum2,110.4915,57.15079,317.1801,617.3177,742.7053,1376.77,278.8603,607.4473,1243.808,180.0912,4247.308,47.59319,5096.576,30.0846,7373.292,37.44835,12422.15,57.24491,2533.234,24.48042,1134.127,323.6435,1027.821,142.9626,270.0082,596.8602,258.6899,828.4731,873.4764,868.2355,507.1024,798.1545,136.1016,255.9231,122.6199,148.8957
1258,2019-10-23 10:19:01Z,Chm100s,Spectrum3,110.4915,57.15079,317.1801,619.2113,742.7053,1381.708,278.8603,607.4473,1239.6,180.0912,4241.935,48.36082,5095.348,29.47062,7379.053,36.87222,12363.8,57.24491,2532.744,24.48042,1133.211,322.7267,1028.709,143.8506,270.0082,606.8914,257.8581,827.6414,873.4764,867.3621,507.1024,706.3611,136.1016,260.4816,122.6199,150.842
1259,2019-10-23 10:19:08Z,Chm100s,Spectrum4,110.4915,56.19828,316.2333,618.2645,742.7053,1373.807,277.8852,607.4473,1237.075,178.4082,4230.42,49.12845,5096.576,30.0846,7382.51,37.44835,12379.21,57.24491,2531.276,24.48042,1134.127,328.2277,1030.929,144.2946,270.0082,600.2039,257.8581,825.1459,871.7294,889.199,509.3412,728.7498,136.1016,235.0846,122.6199,159.6006
1260,2019-10-23 10:19:15Z,Chm100s,Spectrum5,110.4915,58.10331,316.2333,622.9985,742.7053,1377.758,277.8852,607.4473,1236.234,179.2497,4228.117,47.59319,5103.33,30.0846,7390.575,36.87222,12375.91,57.24491,2535.682,24.48042,1135.044,319.9761,1030.485,146.5145,270.0082,592.6805,257.8581,821.8187,872.6029,850.766,512.6995,764.5715,136.1016,242.2479,122.6199,167.386
1261,2019-10-23 10:19:21Z,Chm100s,Spectrum6,110.4915,57.15079,316.2333,620.1581,740.73,1379.733,277.8852,607.4473,1234.551,179.2497,4222.744,49.12845,5111.925,29.47062,7402.098,36.29609,12358.3,57.24491,2537.151,24.48042,1135.044,328.2277,1030.929,145.6265,270.0082,600.2039,258.6899,828.4731,875.2233,890.9459,512.6995,736.5858,136.7528,236.387,122.6199,160.5737
1262,2019-10-23 10:19:29Z,Chm100s,Spectrum7,110.4915,56.19828,315.2865,619.2113,738.7548,1385.659,277.8852,604.5222,1232.868,180.0912,4219.673,48.36082,5116.223,30.0846,7411.316,36.29609,12334.08,57.24491,2537.641,24.48042,1136.878,325.4772,1031.817,143.4066,270.0082,600.2039,259.5217,821.8187,876.0968,863.8682,511.5801,799.2739,136.7528,252.6671,122.6199,147.9225
1263,2019-10-23 10:19:37Z,Chm100s,Spectrum8,110.4915,57.15079,315.2865,619.2113,736.7795,1385.659,277.8852,602.5721,1233.709,178.4082,4215.068,48.36082,5126.047,30.0846,7418.806,36.29609,12294.45,58.34578,2542.537,24.48042,1135.961,324.5603,1033.593,143.8506,270.0082,591.0086,258.6899,819.3234,877.8438,864.7416,510.4607,709.7194,136.7528,262.4352,122.6199,150.842
1264,2019-10-23 10:19:44Z,Chm100s,Spectrum9,110.4915,57.15079,315.2865,609.7432,736.7795,1373.807,278.8603,601.5971,1235.392,178.4082,4218.138,48.36082,5140.168,30.0846,7419.958,36.87222,12394.62,57.24491,2545.964,24.48042,1134.127,326.394,1034.925,144.2946,270.0082,587.6649,258.6899,827.6414,876.9703,881.3376,510.4607,719.7943,136.7528,270.9008,122.6199,154.7347
1265,2019-10-23 10:19:54Z,Chm100s,Spectrum10,110.4915,55.24577,316.2333,611.6368,737.7671,1381.708,279.8353,602.5721,1237.075,180.0912,4220.441,47.59319,5147.536,30.0846,7438.97,36.29609,12421.04,58.34578,2555.756,24.97003,1135.044,326.394,1035.813,143.8506,270.8441,598.532,258.6899,832.6321,875.2233,868.2355,510.4607,797.035,136.7528,254.6207,122.6199,147.9225
1266,2019-10-23 10:20:50Z,Chm103s,Spectrum1,117.1591,74.29603,456.3606,1380.443,1158.502,2567.864,334.4373,781.0037,1453.353,213.7532,4711.726,56.80477,5862.198,38.68019,8225.962,44.93802,13234.58,64.95096,2802.519,30.35572,1112.123,328.2277,1075.328,142.5186,279.2035,618.5946,271.9987,832.6321,918.0237,866.4886,531.7299,800.3934,147.1721,253.3183,135.2712,151.8152
1267,2019-10-23 10:20:57Z,Chm103s,Spectrum2,117.1591,74.29603,454.467,1382.337,1153.564,2574.778,333.4622,782.9538,1445.779,214.5947,4695.605,56.80477,5849.919,38.68019,8204.645,44.93802,13251.1,63.85009,2792.727,30.35572,1111.207,328.2277,1073.108,142.9626,280.0394,624.4462,271.9987,835.1276,917.1502,863.8682,531.7299,795.9156,147.1721,253.3183,135.2712,152.7883
