Id,CreationStamp,Dataset,Description,Ch_0_0,Ch_0_1,Ch_0_2,Ch_0_3,Ch_0_4,Ch_0_5,Ch_0_6,Ch_0_7,Ch_0_8,Ch_0_9,Ch_0_10,Ch_0_11,Ch_0_12,Ch_0_13,Ch_0_14,Ch_0_15,Ch_0_16,Ch_0_17,Ch_1_0,Ch_1_1,Ch_1_2,Ch_1_3,Ch_1_4,Ch_1_5,Ch_1_6,Ch_1_7,Ch_1_8,Ch_1_9,Ch_1_10,Ch_1_11,Ch_1_12,Ch_1_13,Ch_1_14,Ch_1_15,Ch_1_16,Ch_1_17
1845,2019-10-25 08:36:04Z,Chm153n,Spectrum1,151.4496,95.25132,515.0626,1641.762,1319.487,1554.545,398.7897,1043.288,1720.965,262.563,5164.628,60.64293,6479.24,29.47062,8181.023,40.32899,14350.86,64.95096,2540.089,23.50121,970.0137,390.5726,1055.792,133.639,188.9221,590.1727,240.3903,948.2524,994.0161,973.9261,640.3147,847.4095,153.0329,262.4352,158.6274,179.0641
1846,2019-10-25 08:36:10Z,Chm153n,Spectrum2,151.4496,90.48875,514.1158,1587.794,1313.561,1542.694,398.7897,1045.238,1711.708,260.0383,5141.6,58.34004,6468.188,28.85665,8167.196,39.17673,14408.1,63.85009,2538.62,23.99081,970.9305,372.2359,1056.68,126.5352,188.9221,570.9461,241.2221,920.803,1002.751,906.6685,642.5535,743.3024,153.0329,249.4111,159.6006,151.8152
1847,2019-10-25 08:36:16Z,Chm153n,Spectrum3,149.5446,94.29881,514.1158,1601.049,1325.413,1537.755,394.8895,1040.363,1709.184,260.0383,5154.649,60.64293,6486.607,29.47062,8185.057,40.32899,14422.42,64.95096,2542.047,23.99081,969.0968,392.4063,1057.124,133.195,188.9221,580.9774,241.2221,942.4298,1003.624,920.6441,642.5535,818.3043,153.0329,260.4816,158.6274,178.0909
1848,2019-10-25 08:36:23Z,Chm153n,Spectrum4,151.4496,94.29881,515.0626,1636.081,1321.462,1554.545,398.7897,1044.263,1716.758,260.8799,5156.185,59.10767,6485.993,30.0846,8166.044,40.32899,14426.82,64.95096,2535.192,23.99081,966.3463,382.3211,1057.568,130.5311,188.9221,583.4852,240.3903,935.7754,1000.13,945.1014,636.9564,908.9782,153.0329,278.0641,158.6274,165.4396
1849,2019-10-25 08:36:56Z,Chm153n,Spectrum5,150.4971,94.29881,514.1158,1636.081,1321.462,1543.681,396.8396,1052.064,1711.708,262.563,5152.346,60.64293,6490.905,29.47062,8196.579,40.32899,14164.81,64.95096,2544.495,23.50121,967.2631,390.5726,1057.124,133.639,188.9221,585.157,240.3903,940.7662,994.0161,979.1671,641.4341,838.454,153.0329,258.528,158.6274,176.1445
1850,2019-10-25 08:37:02Z,Chm153n,Spectrum6,151.4496,94.29881,516.9562,1620.932,1330.351,1552.57,399.7647,1042.313,1720.124,260.0383,5167.699,59.8753,6508.71,29.47062,8201.765,40.32899,14414.71,64.95096,2550.86,23.99081,965.4294,385.9884,1057.124,130.0871,188.9221,590.1727,240.3903,940.7662,1000.13,943.3545,638.0758,785.8408,152.3817,279.3665,158.6274,165.4396
1851,2019-10-25 08:37:09Z,Chm153n,Spectrum7,151.4496,90.48875,516.9562,1595.369,1333.314,1532.817,400.7397,1054.014,1719.282,260.0383,5167.699,57.57241,6480.468,28.85665,8134.933,39.17673,14434.52,63.85009,2523.931,23.99081,968.18,377.7369,1053.128,128.3112,188.9221,578.4695,241.2221,926.6256,1001.004,909.2889,640.3147,738.8246,152.3817,249.4111,158.6274,150.842
1852,2019-10-25 08:37:15Z,Chm153n,Spectrum8,150.4971,94.29881,515.0626,1626.613,1323.438,1541.706,398.7897,1055.964,1712.55,261.7214,5138.529,59.8753,6509.324,29.47062,8182.176,41.48125,14322.24,63.85009,2534.213,24.48042,963.5958,385.0716,1058.456,132.307,188.0862,580.1414,240.3903,938.2708,994.0161,966.0649,635.837,818.3043,153.0329,254.6207,158.6274,174.1982
1853,2019-10-25 08:37:22Z,Chm153n,Spectrum9,151.4496,96.20383,517.903,1663.539,1327.388,1558.496,400.7397,1057.914,1718.441,265.0876,5159.255,59.8753,6479.24,29.47062,8152.217,40.32899,14294.71,64.95096,2537.641,23.99081,966.3463,380.4874,1054.904,130.0871,188.9221,585.157,240.3903,924.962,995.7631,944.228,638.0758,790.3185,152.3817,281.9713,158.6274,164.4664
1854,2019-10-25 08:37:29Z,Chm153n,Spectrum10,150.4971,95.25132,516.0094,1637.975,1327.388,1559.484,399.7647,1052.064,1714.233,263.4045,5148.508,60.64293,6485.993,29.47062,8149.336,40.32899,14401.5,63.85009,2529.317,23.99081,966.3463,386.9052,1056.236,133.195,188.9221,583.4852,241.2221,929.9528,1000.13,964.3179,640.3147,826.1403,152.3817,256.5743,158.6274,176.1445
