,n_comp,condition,sens,spec,Anomaly,sens_variance,spec_variance
0,2.0,0.01,1.0,0.0,Density_a,0.0,0.0
1,2.0,0.01,0.5465830899058748,0.7711879652331123,pH_a,0.003386841157117666,0.00026857016426547854
2,2.0,0.02,0.999447895100069,0.0,Density_a,8.096776482770166e-07,0.0
3,2.0,0.02,0.092787714173457,0.9964311092858337,pH_a,0.0032266590100631823,7.697350793541714e-06
4,2.0,0.03,0.989486879566283,0.0026839800657756036,Density_a,0.0001008997762871083,7.1145174468085524e-06
5,2.0,0.03,0.0,0.9998792635073951,pH_a,0.0,7.288650323265242e-08
6,2.0,0.04,0.9523095160528452,0.015683762939893483,Density_a,0.0005070710402651742,9.109186702697327e-05
7,2.0,0.04,0.0,1.0,pH_a,0.0,0.0
8,2.0,0.05,0.9201766347457557,0.034178714745686956,Density_a,0.00016495563188174262,5.9938948719506954e-05
9,2.0,0.05,0.0,1.0,pH_a,0.0,0.0
10,2.0,0.06,0.8778461611739259,0.07684329882922163,Density_a,0.00043408524548822346,0.0013658476484388424
11,2.0,0.06,0.0,1.0,pH_a,0.0,0.0
12,2.0,0.07,0.8519777799560403,0.10675073842475238,Density_a,0.0009674706284565372,0.0031040325187246887
13,2.0,0.07,0.0,1.0,pH_a,0.0,0.0
14,2.0,0.08,0.8132425682588276,0.19381114393589788,Density_a,0.0001792159724695215,0.0029684546835904817
15,2.0,0.08,0.0,1.0,pH_a,0.0,0.0
16,2.0,0.09,0.7948305603100769,0.2489284839916575,Density_a,0.00015871794361307185,0.0005860247734729163
17,2.0,0.09,0.0,1.0,pH_a,0.0,0.0
18,2.0,0.1,0.7677283429570904,0.3088808873608933,Density_a,3.488824652613482e-05,0.0008916388185990836
19,2.0,0.1,0.0,1.0,pH_a,0.0,0.0
20,2.0,0.11000000000000001,0.7592739867577271,0.3159824977320566,Density_a,9.040287373481594e-05,0.001257816414916137
21,2.0,0.11000000000000001,0.0,1.0,pH_a,0.0,0.0
22,2.0,0.12,0.7331927176292015,0.35423935685176017,Density_a,2.447284933045396e-05,0.0007515475455352709
23,2.0,0.12,0.0,1.0,pH_a,0.0,0.0
24,2.0,0.13,0.7281543804268582,0.38360387824957226,Density_a,1.724799466582648e-05,0.0009885160561130364
25,2.0,0.13,0.0,1.0,pH_a,0.0,0.0
26,2.0,0.14,0.7152658420448907,0.43925473937860665,Density_a,0.00034248600265831343,0.0018746459749703502
27,2.0,0.14,0.0,1.0,pH_a,0.0,0.0
28,2.0,0.15,0.7140531775965693,0.44869782987171947,Density_a,0.0001720587969888419,0.00415211915798763
29,2.0,0.15,0.0,1.0,pH_a,0.0,0.0
30,2.0,0.16,0.7027109101000282,0.4985814954359096,Density_a,1.2721972678665399e-05,0.0009085388587738271
31,2.0,0.16,0.0,1.0,pH_a,0.0,0.0
32,2.0,0.17,0.7022355233110537,0.5162735462325372,Density_a,7.317779610759428e-05,0.00029157665871899514
33,2.0,0.17,0.0,1.0,pH_a,0.0,0.0
34,2.0,0.18,0.6937915194199751,0.5365545802639214,Density_a,0.0007723312563454262,0.00035010909740817493
35,2.0,0.18,0.0,1.0,pH_a,0.0,0.0
36,2.0,0.19,0.6772135882087429,0.5340403332964494,Density_a,0.0001482118908012445,0.000630294549180021
37,2.0,0.19,0.0,1.0,pH_a,0.0,0.0
38,2.0,0.2,0.6737712835848727,0.554337352913713,Density_a,0.00010591642273092053,0.00016791253811258242
39,2.0,0.2,0.0,1.0,pH_a,0.0,0.0
40,2.0,0.21000000000000002,0.6746926285564541,0.576072794999879,Density_a,0.00022445135592069062,0.00030403051437258516
41,2.0,0.21000000000000002,0.0,1.0,pH_a,0.0,0.0
42,2.0,0.22000000000000003,0.6521497345658849,0.5867914219548532,Density_a,0.00013999040504647327,0.0007315997605528819
43,2.0,0.22000000000000003,0.0,1.0,pH_a,0.0,0.0
44,2.0,0.23000000000000004,0.6495148577712748,0.6148051385296827,Density_a,0.00013432541749743856,8.700580834632172e-05
45,2.0,0.23000000000000004,0.0,1.0,pH_a,0.0,0.0
46,2.0,0.24,0.6537255778480212,0.6392504844372695,Density_a,9.73649800502031e-05,4.5988356022812794e-05
47,2.0,0.24,0.0,1.0,pH_a,0.0,0.0
48,2.0,0.25,0.641609715934536,0.644055098513608,Density_a,0.00013590669262157284,0.0001054788816139292
49,2.0,0.25,0.0,1.0,pH_a,0.0,0.0
50,2.0,0.26,0.6408261469100264,0.6689024153232925,Density_a,0.00025147316836207493,0.0003115968249579694
51,2.0,0.26,0.0,1.0,pH_a,0.0,0.0
52,2.0,0.27,0.6362860854937981,0.6748493675319327,Density_a,0.0003952909753174412,0.0005644148517078257
53,2.0,0.27,0.0,1.0,pH_a,0.0,0.0
54,2.0,0.28,0.6247655331310428,0.6977508043653129,Density_a,0.0003735613170787652,0.00024762245900402497
55,2.0,0.28,0.0,1.0,pH_a,0.0,0.0
56,2.0,0.29,0.6297006852787835,0.7080490026007297,Density_a,0.00032987841572655504,0.0001282420624591152
57,2.0,0.29,0.0,1.0,pH_a,0.0,0.0
58,2.0,0.3,0.6234157845487804,0.7243407398821086,Density_a,0.0004366369196304546,0.00017203970649311273
59,2.0,0.3,0.0,1.0,pH_a,0.0,0.0
