,n_comp,condition,sens,spec,Anomaly,sens_variance,spec_variance
0,2.0,0.1,0.14976689976689977,0.9925956371496856,Protein_a,0.01871627789459957,0.000121895091442732
1,2.0,0.1,0.0,0.0,Bilirubin_a,0.0,0.0
2,2.0,0.1,0.0,1.0,Glucose_a,0.0,0.0
3,2.0,0.1,0.0,1.0,Ketones_a,0.0,0.0
4,2.0,0.1,0.0,0.997090909090909,Nitrite_a,0.0,4.231404958677676e-05
5,2.0,0.1,0.0,1.0,Urobilinogen_a,0.0,0.0
6,2.0,0.2,0.05,1.0,Protein_a,0.012500000000000002,0.0
7,2.0,0.2,0.0,0.0,Bilirubin_a,0.0,0.0
8,2.0,0.2,0.0,1.0,Glucose_a,0.0,0.0
9,2.0,0.2,0.0,1.0,Ketones_a,0.0,0.0
10,2.0,0.2,0.0,1.0,Nitrite_a,0.0,0.0
11,2.0,0.2,0.0,1.0,Urobilinogen_a,0.0,0.0
12,2.0,0.3,0.0,1.0,Protein_a,0.0,0.0
13,2.0,0.3,0.0,0.0,Bilirubin_a,0.0,0.0
14,2.0,0.3,0.0,1.0,Glucose_a,0.0,0.0
15,2.0,0.3,0.0,1.0,Ketones_a,0.0,0.0
16,2.0,0.3,0.0,1.0,Nitrite_a,0.0,0.0
17,2.0,0.3,0.0,1.0,Urobilinogen_a,0.0,0.0
18,2.0,0.4,0.0,1.0,Protein_a,0.0,0.0
19,2.0,0.4,0.0,0.0,Bilirubin_a,0.0,0.0
20,2.0,0.4,0.0,1.0,Glucose_a,0.0,0.0
21,2.0,0.4,0.0,1.0,Ketones_a,0.0,0.0
22,2.0,0.4,0.0,1.0,Nitrite_a,0.0,0.0
23,2.0,0.4,0.0,1.0,Urobilinogen_a,0.0,0.0
24,2.0,0.5,0.0,1.0,Protein_a,0.0,0.0
25,2.0,0.5,0.0,0.0,Bilirubin_a,0.0,0.0
26,2.0,0.5,0.0,1.0,Glucose_a,0.0,0.0
27,2.0,0.5,0.0,1.0,Ketones_a,0.0,0.0
28,2.0,0.5,0.0,1.0,Nitrite_a,0.0,0.0
29,2.0,0.5,0.0,1.0,Urobilinogen_a,0.0,0.0
30,2.0,0.6,0.0,1.0,Protein_a,0.0,0.0
31,2.0,0.6,0.0,0.0,Bilirubin_a,0.0,0.0
32,2.0,0.6,0.0,1.0,Glucose_a,0.0,0.0
33,2.0,0.6,0.0,1.0,Ketones_a,0.0,0.0
34,2.0,0.6,0.0,1.0,Nitrite_a,0.0,0.0
35,2.0,0.6,0.0,1.0,Urobilinogen_a,0.0,0.0
36,2.0,0.7,0.0,1.0,Protein_a,0.0,0.0
37,2.0,0.7,0.0,0.0,Bilirubin_a,0.0,0.0
38,2.0,0.7,0.0,1.0,Glucose_a,0.0,0.0
39,2.0,0.7,0.0,1.0,Ketones_a,0.0,0.0
40,2.0,0.7,0.0,1.0,Nitrite_a,0.0,0.0
41,2.0,0.7,0.0,1.0,Urobilinogen_a,0.0,0.0
42,2.0,0.8,0.0,1.0,Protein_a,0.0,0.0
43,2.0,0.8,0.0,0.0,Bilirubin_a,0.0,0.0
44,2.0,0.8,0.0,1.0,Glucose_a,0.0,0.0
45,2.0,0.8,0.0,1.0,Ketones_a,0.0,0.0
46,2.0,0.8,0.0,1.0,Nitrite_a,0.0,0.0
47,2.0,0.8,0.0,1.0,Urobilinogen_a,0.0,0.0
48,2.0,0.9,0.0,1.0,Protein_a,0.0,0.0
49,2.0,0.9,0.0,0.0,Bilirubin_a,0.0,0.0
50,2.0,0.9,0.0,1.0,Glucose_a,0.0,0.0
51,2.0,0.9,0.0,1.0,Ketones_a,0.0,0.0
52,2.0,0.9,0.0,1.0,Nitrite_a,0.0,0.0
53,2.0,0.9,0.0,1.0,Urobilinogen_a,0.0,0.0
54,3.0,0.1,0.19506253908692933,0.9842127087667573,Protein_a,0.012028162144805168,0.00024277779526368995
55,3.0,0.1,0.0,0.0,Bilirubin_a,0.0,0.0
56,3.0,0.1,0.0,1.0,Glucose_a,0.0,0.0
57,3.0,0.1,0.0,1.0,Ketones_a,0.0,0.0
58,3.0,0.1,0.0,0.9806980372009114,Nitrite_a,0.0,0.00026203400143063384
59,3.0,0.1,0.0,1.0,Urobilinogen_a,0.0,0.0
60,3.0,0.2,0.010427807486631016,0.9851941384898965,Protein_a,0.00020947124596070805,0.00010619055833123472
61,3.0,0.2,0.0,0.0,Bilirubin_a,0.0,0.0
62,3.0,0.2,0.0,1.0,Glucose_a,0.0,0.0
63,3.0,0.2,0.0,1.0,Ketones_a,0.0,0.0
64,3.0,0.2,0.0,0.9975786924939467,Nitrite_a,0.0,2.9313650194349575e-05
65,3.0,0.2,0.0,1.0,Urobilinogen_a,0.0,0.0
66,3.0,0.3,0.0,0.9925925850658753,Protein_a,0.0,4.572494615852218e-05
67,3.0,0.3,0.0,0.0,Bilirubin_a,0.0,0.0
68,3.0,0.3,0.0,1.0,Glucose_a,0.0,0.0
69,3.0,0.3,0.0,1.0,Ketones_a,0.0,0.0
70,3.0,0.3,0.0,1.0,Nitrite_a,0.0,0.0
71,3.0,0.3,0.0,1.0,Urobilinogen_a,0.0,0.0
72,3.0,0.4,0.0,0.9945897064871734,Protein_a,0.0,2.4654729677007938e-05
73,3.0,0.4,0.0,0.0,Bilirubin_a,0.0,0.0
74,3.0,0.4,0.0,1.0,Glucose_a,0.0,0.0
75,3.0,0.4,0.0,1.0,Ketones_a,0.0,0.0
76,3.0,0.4,0.0,1.0,Nitrite_a,0.0,0.0
77,3.0,0.4,0.0,1.0,Urobilinogen_a,0.0,0.0
78,3.0,0.5,0.0,1.0,Protein_a,0.0,0.0
79,3.0,0.5,0.0,0.0,Bilirubin_a,0.0,0.0
80,3.0,0.5,0.0,1.0,Glucose_a,0.0,0.0
81,3.0,0.5,0.0,1.0,Ketones_a,0.0,0.0
82,3.0,0.5,0.0,1.0,Nitrite_a,0.0,0.0
83,3.0,0.5,0.0,1.0,Urobilinogen_a,0.0,0.0
84,3.0,0.6,0.0,1.0,Protein_a,0.0,0.0
85,3.0,0.6,0.0,0.0,Bilirubin_a,0.0,0.0
86,3.0,0.6,0.0,1.0,Glucose_a,0.0,0.0
87,3.0,0.6,0.0,1.0,Ketones_a,0.0,0.0
88,3.0,0.6,0.0,1.0,Nitrite_a,0.0,0.0
89,3.0,0.6,0.0,1.0,Urobilinogen_a,0.0,0.0
90,3.0,0.7,0.0,1.0,Protein_a,0.0,0.0
91,3.0,0.7,0.0,0.0,Bilirubin_a,0.0,0.0
92,3.0,0.7,0.0,1.0,Glucose_a,0.0,0.0
93,3.0,0.7,0.0,1.0,Ketones_a,0.0,0.0
94,3.0,0.7,0.0,1.0,Nitrite_a,0.0,0.0
95,3.0,0.7,0.0,1.0,Urobilinogen_a,0.0,0.0
96,3.0,0.8,0.0,1.0,Protein_a,0.0,0.0
97,3.0,0.8,0.0,0.0,Bilirubin_a,0.0,0.0
98,3.0,0.8,0.0,1.0,Glucose_a,0.0,0.0
99,3.0,0.8,0.0,1.0,Ketones_a,0.0,0.0
100,3.0,0.8,0.0,1.0,Nitrite_a,0.0,0.0
101,3.0,0.8,0.0,1.0,Urobilinogen_a,0.0,0.0
102,3.0,0.9,0.0,1.0,Protein_a,0.0,0.0
103,3.0,0.9,0.0,0.0,Bilirubin_a,0.0,0.0
104,3.0,0.9,0.0,1.0,Glucose_a,0.0,0.0
105,3.0,0.9,0.0,1.0,Ketones_a,0.0,0.0
106,3.0,0.9,0.0,1.0,Nitrite_a,0.0,0.0
107,3.0,0.9,0.0,1.0,Urobilinogen_a,0.0,0.0
108,4.0,0.1,0.19550215208034433,0.9925741590171457,Protein_a,0.03938558646505108,4.5954115089443205e-05
109,4.0,0.1,0.0,0.0,Bilirubin_a,0.0,0.0
110,4.0,0.1,0.0,1.0,Glucose_a,0.0,0.0
111,4.0,0.1,0.0,1.0,Ketones_a,0.0,0.0
112,4.0,0.1,0.0,0.9901442307692306,Nitrite_a,0.0,0.0004856809356508874
113,4.0,0.1,0.0,1.0,Urobilinogen_a,0.0,0.0
114,4.0,0.2,0.011764705882352941,0.9876358646360186,Protein_a,0.0006920415224913495,7.602223185711995e-05
115,4.0,0.2,0.0,0.0,Bilirubin_a,0.0,0.0
